source,title,url,relevance_score,discovered_at
Hacker News,Google engineer writing Amazon reviews on USB-C cables that don't work,http://www.amazon.com/gp/pdp/profile/A25GROL6KJV3QG/ref=cm_cr_rdp_pdp,1524,2026-07-01T18:54:35.208651
Hacker News,VLC contributor living in Aleppo writing about the Paris attacks,https://mailman.videolan.org/pipermail/vlc-devel/2015-November/105002.html,1368,2026-07-01T18:54:35.208668
Hacker News,Undervalued Engineering Skills: Writing Well,https://blog.pragmaticengineer.com/on-writing-well/,1109,2026-07-01T18:54:35.208671
Hacker News,Hemingway makes your writing bold and clear,http://www.hemingwayapp.com/,1040,2026-07-01T18:54:35.208673
Hacker News,I'm going back to writing code by hand,https://blog.k10s.dev/im-going-back-to-writing-code-by-hand/,1038,2026-07-01T18:54:35.208675
Hacker News,Japanese writing system basics,https://www.candyjapan.com/%E5%8F%A3,961,2026-07-01T18:54:35.208677
Hacker News,I spent 5 years writing my own operating system,https://github.com/halfer53/winix,939,2026-07-01T18:54:35.208678
Hacker News,Writing userspace USB drivers for abandoned devices,https://blog.benjojo.co.uk/post/userspace-usb-drivers,872,2026-07-01T18:54:35.208680
Hacker News,"After two years of vibecoding, I'm back to writing by hand",https://atmoio.substack.com/p/after-two-years-of-vibecoding-im,865,2026-07-01T18:54:35.208682
Hacker News,Writing one sentence per line,https://sive.rs/1s,849,2026-07-01T18:54:35.208684
Hacker News,Writing toy software is a joy,https://blog.jsbarretto.com/post/software-is-joy,820,2026-07-01T18:54:35.208685
Hacker News,"I'm fed up with it, so I'm writing a browser",https://adayinthelifeof.nl/2023/09/22/browsers.html,819,2026-07-01T18:54:35.208687
Hacker News,Show HN: I've been writing daily TILs for a year,https://github.com/jbranchaud/til,819,2026-07-01T18:54:35.208695
Hacker News,Show HN: I'm writing a free book called Computer Networks from Scratch,https://www.networksfromscratch.com,792,2026-07-01T18:54:35.208697
Hacker News,Writing Code Was Never the Bottleneck,https://ordep.dev/posts/writing-code-was-never-the-bottleneck,776,2026-07-01T18:54:35.208699
Hacker News,Writing a good Claude.md,https://www.humanlayer.dev/blog/writing-a-good-claude-md,748,2026-07-01T18:54:35.208700
Hacker News,Do your own writing,https://alexhwoods.com/dont-let-ai-write-for-you/,748,2026-07-01T18:54:35.208702
Hacker News,Writing documentation for your house,https://luke.hsiao.dev/blog/housing-documentation/,722,2026-07-01T18:54:35.208704
Hacker News,Modern CSS Code Snippets: Stop writing CSS like it's 2015,https://modern-css.com,708,2026-07-01T18:54:35.208705
Hacker News,Writing about what you learn pushes you to understand topics better,https://addyosmani.com/blog/write-learn/,707,2026-07-01T18:54:35.208707
